"x"
"1";-95.5401100299973
"2";-96.0497334797673
"3";-95.6179271518906
"4";-95.7232837800893
"5";-96.1082274429789
"6";-95.6039735996951
"7";-96.3169009037764
"8";-96.1468523049096
"9";-96.0968278073571
"10";-95.8023655453363
"11";-96.1801386399037
"12";-95.8133500246748
"13";-95.8157717741412
"14";-96.1535955277971
"15";-96.0023366748589
"16";-95.8775845160761
"17";-95.4185948328878
"18";-95.8398328070748
"19";-95.5888623539995
"20";-95.8384858713903
"21";-96.2250918935095
"22";-95.7686524760879
"23";-96.3204890550373
"24";-95.549498777566
"25";-96.0171766841483
"26";-96.3111469574012
"27";-95.8920815917136
"28";-95.7496694089408
"29";-95.6837865170308
"30";-95.9911479282186
"31";-96.0216985127568
"32";-95.7991129930356
"33";-96.0925176912619
"34";-96.4998607034545
"35";-95.6202844858812
"36";-95.8364324630802
"37";-96.2578222177674
"38";-95.7878407944869
"39";-96.0972054529449
"40";-95.7540874713713
"41";-95.661906654174
"42";-95.7657462480098
"43";-96.1983034253003
"44";-95.9216597634052
"45";-95.934257239987
"46";-96.0648531379239
"47";-95.7367822236375
"48";-95.9197045724327
"49";-95.9058012602677
"50";-95.9567800692409
"51";-95.9301703586347
"52";-95.8626018903039
"53";-95.7644066460594
"54";-96.0677163478121
"55";-95.6203792994839
"56";-95.9521389543623
"57";-95.8291721897967
"58";-96.0674966459732
"59";-96.1993893478642
"60";-96.4837321820769
"61";-95.6132679901621
"62";-95.6481239335193
"63";-95.7865531655747
"64";-95.4946154115214
"65";-95.9004856182697
"66";-95.4372987237222
"67";-95.454485764705
"68";-95.8399290403652
"69";-96.1369220741389
"70";-95.6031959072765
"71";-95.6628258774447
"72";-96.2583534680022
"73";-95.693031804154
"74";-96.1047335183927
"75";-95.9421909024423
"76";-95.9210387310804
"77";-95.9761707910715
"78";-95.7981327997151
"79";-95.4632828499428
"80";-96.2613991243984
"81";-95.688042808714
"82";-96.2736220943649
"83";-96.0332272700494
"84";-96.1178059694019
"85";-95.9059359805924
"86";-95.8188752197887
"87";-96.5280038711182
"88";-95.625462112607
"89";-95.8288574363931
"90";-95.7173729226135
"91";-95.9183599690169
"92";-95.7026042912216
"93";-96.1771048133006
"94";-96.2420984121665
"95";-96.0196193194529
"96";-95.7136637812616
"97";-95.4400029088759
"98";-96.0238083758518
"99";-96.2345451174848
"100";-95.6352509669763
"101";-95.9460061199503
"102";-95.7037570471789
"103";-96.333998581109
"104";-96.2232805005125
"105";-95.8886240734402
"106";-96.2135962755537
"107";-96.2630054051527
"108";-96.0907354856323
"109";-96.0919411017629
"110";-95.5104217445793
"111";-95.6816595150899
"112";-95.7756697427323
"113";-96.32757313452
"114";-96.38771212656
"115";-95.7527455902985
"116";-96.1544253489629
"117";-96.0184510929995
"118";-95.8124943455462
"119";-96.1956894978458
"120";-95.9688340063773
"121";-95.4373899592099
"122";-95.8325254301161
"123";-96.2831719360276
"124";-95.8984573637539
"125";-95.8780182300792
"126";-96.7024802378123
"127";-95.7854858871723
"128";-96.0743259273395
"129";-95.4271235177041
"130";-96.2877354943738
"131";-96.4108741656812
"132";-96.3065983927811
"133";-96.4237618602605
"134";-95.5873403220321
"135";-95.7878292176437
"136";-95.7249698864982
"137";-96.3690202903072
"138";-96.2919740067633
"139";-95.6452417881002
"140";-95.7911042047497
"141";-96.2920369153514
"142";-96.7042530601649
"143";-96.2072981881678
"144";-95.8229789938129
"145";-96.5657493747032
"146";-96.3109158361728
"147";-96.1328421951465
"148";-95.3363981408209
"149";-95.8613013466234
"150";-95.8789109934681
"151";-96.2220768318771
"152";-96.2336625126765
"153";-96.023243386331
"154";-95.5039233335386
"155";-96.1103533581328
"156";-96.0996713244801
"157";-96.0698074728437
"158";-96.411236629153
"159";-95.9671672608269
"160";-95.5394108942729
"161";-96.173178208547
"162";-95.6879822618387
"163";-95.9025948353482
"164";-95.6342537241244
"165";-96.1111745634189
"166";-95.5826013973373
"167";-96.3904971410475
"168";-96.0907341467138
"169";-96.2923021429143
"170";-95.8813782523091
"171";-95.393930384736
"172";-96.0136498183858
"173";-95.9482931949454
"174";-96.3842389341729
"175";-96.4838887824787
"176";-95.7174918137043
"177";-95.5354636207741
"178";-96.271630101138
"179";-95.5537317579439
"180";-96.2004481560971
"181";-95.6117975425634
"182";-95.7152550684344
"183";-95.7525862540548
"184";-95.0443468080878
"185";-96.1294602383899
"186";-95.6004122682194
"187";-96.1739964594437
"188";-95.8109879929295
"189";-95.5791043084446
"190";-96.0175535534567
"191";-95.9031596551215
"192";-96.1458196624033
"193";-95.6223518755078
"194";-96.3179624492436
"195";-96.0268001883196
"196";-95.5944005460051
"197";-95.5023010369214
"198";-95.4499249036755
"199";-95.9216705250841
"200";-96.101073737433
"201";-96.1906981341112
"202";-96.0584215711434
"203";-95.988582862151
"204";-95.9877748639779
"205";-95.7244617802741
"206";-95.7257577389836
"207";-95.8999268155411
"208";-96.0924598095217
"209";-96.0109052743586
"210";-95.559295952849
"211";-96.0598028083005
"212";-95.7841804775567
"213";-95.5200070028963
"214";-96.2840564994812
"215";-95.9178351638907
"216";-96.1931979122071
"217";-95.674599364847
"218";-95.8788928834017
"219";-95.5401459212525
"220";-95.9195515489093
"221";-96.0321127396509
"222";-96.0171624294882
"223";-96.0874030688304
"224";-95.6926278979949
"225";-95.8413813152786
"226";-95.8108219887186
"227";-96.0077954349912
"228";-96.3059764330338
"229";-96.8145869975338
"230";-95.825475984328
"231";-95.7649921123479
"232";-95.6943951165134
"233";-96.0733350408446
"234";-95.4510258918649
