DOW30;SP500;BOVESPA67;FTSE100;IBEX35;ATX20;NIKKEI225;SH1476;CH50;TAIWAN896;SET582;KARACHI100;COLCAP25
1.834604;0.777303;1.13579;1.066671;0.991386;;1.089443;0.650147;1.548354;0.715144;0.925686;1.180887;0.376496
1.758849;0.770938;1.059674;1.005355;0.988786;;1.010301;0.617556;1.540169;0.711311;0.833144;1.177529;0.206291
1.75433;0.757936;1.042133;0.992937;0.858787;;0.994538;0.557963;1.505472;0.703148;0.829722;1.142053;0.133102
1.409046;0.73319;1.030119;0.95267;0.835994;;0.957265;0.554111;1.391113;0.688418;0.816355;1.108852;
1.332759;0.732984;1.029096;0.934872;0.670634;;0.903245;0.551461;1.378433;0.687029;0.790228;1.015641;
1.232018;0.700893;0.958655;0.897245;0.570278;;0.885922;0.542699;1.346871;0.630724;0.777112;0.980814;
1.163706;0.673015;0.936927;0.883171;0.545132;;0.873525;0.539984;1.335962;0.623054;0.773728;0.974908;
1.089811;0.665682;0.927579;0.867812;0.41014;;0.871883;0.517485;1.33139;0.619437;0.751639;0.966104;
;0.661467;0.887783;0.842658;0.390891;;0.848896;0.483969;1.295317;0.61029;0.735409;0.945955;
;0.642784;0.882797;0.787371;0.372435;;0.815235;0.468821;1.088003;0.556779;0.703776;0.897019;
;0.627079;0.878234;0.780644;0.353612;;0.81113;0.460437;1.069641;0.53141;0.641576;0.794047;
;0.597644;0.850389;0.744191;0.324991;;0.806533;0.460426;1.044454;0.523867;0.621597;0.764838;
;0.597371;0.766228;0.728417;0.250294;;0.80604;0.459332;1.001885;0.51944;0.61866;0.753744;
;0.541748;0.72841;0.700063;;;0.778455;0.45008;0.945523;0.501619;0.613955;0.738654;
;0.533386;0.698565;0.648262;;;0.778291;0.433474;0.843653;0.484239;0.581157;0.705372;
;0.531242;0.643782;0.596752;;;0.764991;0.422841;0.797559;0.453779;0.506717;0.698275;
;0.516536;0.625308;0.586945;;;0.74693;0.415807;0.751553;0.442851;0.500417;0.661282;
;0.516086;0.600245;0.568027;;;0.745452;0.410809;0.718595;0.442108;0.488622;0.640495;
;0.510086;0.592065;0.560334;;;0.73248;0.377731;0.677482;0.428471;0.452689;0.639807;
;0.509933;0.521943;0.496184;;;0.704239;0.369285;0.67677;0.42582;0.444266;0.639112;
;0.501748;0.493256;0.476519;;;0.651203;0.357801;0.62402;0.399044;0.436547;0.634861;
;0.47646;0.480743;0.460223;;;0.639874;0.342514;0.610925;0.388787;0.434552;0.628411;
;0.476066;0.454904;0.451712;;;0.628051;0.330585;0.399546;0.387428;0.424243;0.623405;
;0.46793;0.442539;0.449827;;;0.600959;0.325584;0.380786;0.373216;0.413549;0.575539;
;0.464076;0.405517;0.447335;;;0.597018;0.318981;0.369353;0.368228;0.40958;0.56559;
;0.462831;0.398469;0.43453;;;0.573867;0.315183;0.357932;0.366555;0.398365;0.551525;
